"title","year","position","artist","pos_sentiment","neg_sentiment","neut_sentiment","compound_sentiment","f_k_grade","flesch_index","fog_index","num_syllables","difficult_words","num_dupes","num_words","num_lines","tags","id","popularity","duration_ms","explicit","artists","id_artists","release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"(Can't Live Without Your) Love And Affection",1990,27,"Nelson",0.131,0.156,0.714,-0.8046,2.5,89.75,4.8,405,21,23,323,43,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(It's Just) The Way That You Love Me",1990,86,"Paula Abdul",0.241,0.031,0.728,0.9988,-0.3,107.69,4.4,448.2,23,33,401,62,"pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(When You Gonna) Give It Up To Me",2006,37,"Sean Paul",0.171,0.03,0.8,0.9985,2.5,95.17,6,947.7,25,57,820,78,"pop, hip-hop/rnb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(You Gotta) Fight For Your Right",1987,98,"Beastie Boys",0.16,0.175,0.664,0.3392,1.3,98.21,4.8,181.8,19,18,157,22,"electronic/dance, hip-hop/rnb, rock, religious",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1, 2 Step",2005,5,"Ciara",0.14,0.046,0.814,0.994,2.1,96.18,5.6,584.1,40,24,475,51,"electronic/dance, pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18 And Life",1989,61,"Skid Row",0.112,0.158,0.729,-0.9445,0.5,100.24,4,358.2,26,22,297,52,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19 Somethin'",2003,84,"Mark Wills",0.039,0.076,0.885,-0.8885,0.9,99.23,4.4,349.2,42,17,287,47,"country",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1st Of Tha Month",1995,89,"Bone Thugs-N-Harmony",0.03,0.042,0.929,-0.9258,1.3,103.63,6,1797.3,109,58,1619,153,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3 A.M. Eternal",1991,61,"KLF",0.044,0.009,0.948,0.7936,0.5,100.24,4,208.8,25,9,172,32,"electronic/dance, pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5 O'Clock",2012,86,"T-Pain",0.103,0.055,0.842,0.9861,0.1,106.67,4.8,823.5,42,64,726,98,"pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50 Ways To Say Goodbye",2012,81,"Train",0.275,0.124,0.601,0.9975,0.9,99.23,4.4,438.3,26,36,373,54,"alternative/indie, pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"679",2015,21,"Fetty Wap",0.144,0.095,0.761,0.9548,1.3,98.21,4.8,568.8,51,35,492,70,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A New Day has Come",2002,91,"Celine Dion",0.121,0.105,0.774,0.8739,-0.3,107.69,4.4,327.6,11,30,294,43,"pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A Rose Is Still A Rose",1998,95,"Aretha Franklin",0.061,0.054,0.885,0.7209,1.3,98.21,4.8,499.5,30,31,427,58,"jazz, pop, hip-hop/rnb, rock, soul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A Sky Full Of Stars",2014,51,"Coldplay",0.055,0.099,0.846,-0.661,0.5,105.66,5.2,173.7,6,8,153,19,"pop, rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ain't it Funny",2002,13,"Jennifer Lopez",0.122,0.082,0.796,0.8802,1.7,97.2,5.2,436.5,28,11,367,43,"electronic/dance, pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ain't no Other Man",2006,32,"Christina Aguilera",0.258,0.05,0.691,0.9988,0.9,104.64,5.6,556.2,30,31,486,54,"pop, rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"All I Do Is Win",2010,79,"DJ Khaled",0.226,0.068,0.706,0.9992,0.9,104.64,5.6,796.5,60,30,695,74,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"All I Have To Give",1999,25,"Backstreet Boys",0.255,0.034,0.711,0.9991,0.5,105.66,5.2,501.3,15,21,448,54,"pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Always In My Heart",1994,96,"Tevin Campbell",0.144,0.043,0.813,0.9939,0.9,104.64,5.6,529.2,9,28,471,52,"pop, hip-hop/rnb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Always on Time",2002,12,"Ja Rule",0.146,0.111,0.743,0.9835,2.1,96.18,5.6,838.8,74,33,678,75,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anytime You Need A Friend",1994,47,"Mariah Carey",0.281,0.054,0.665,0.9941,1.3,92.8,3.6,263.7,16,23,198,41,"pop, hip-hop/rnb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ass Back Home",2012,51,"Gym Class Heroes",0.124,0.078,0.798,0.9667,1.3,98.21,4.8,531.9,26,30,451,59,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"At Your Best",1994,70,"Aaliyah",0.191,0.045,0.764,0.9945,1.3,98.21,4.8,333,16,16,284,36,"pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baby I Love Your Way",1994,21,"Big Mountain",0.275,0,0.725,0.9973,2.1,90.77,4.4,290.7,13,19,225,34,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Back and Forth",1994,24,"Aaliyah",0.056,0.013,0.932,0.9423,-0.7,114.12,5.2,463.5,16,25,449,52,"pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Back For Good",1995,62,"Take That",0.124,0.073,0.803,0.7876,-0.3,107.69,4.4,407.7,25,21,363,55,"pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Back For Good",1996,95,"Take That",0.124,0.073,0.803,0.7876,-0.3,107.69,4.4,407.7,25,21,363,55,"pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Be Without You",2006,11,"Mary J. Blige",0.076,0.08,0.843,-0.3286,0.5,105.66,5.2,603.9,23,31,542,61,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Been Around The World",1998,19,"Puff Daddy",0.074,0.188,0.738,-0.9995,1.3,98.21,4.8,1395,132,19,1149,156,"hip-hop/rnb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Best Of You",2005,68,"Foo Fighters",0.405,0.089,0.506,0.9995,1.3,98.21,4.8,392.4,14,32,327,44,"alternative/indie, rock, religious",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Better Be Good To Me",1985,59,"Tina Turner",0.32,0.023,0.657,0.9995,-0.7,108.7,4,574.2,19,60,530,98,"pop, hip-hop/rnb, rock, soul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Better In Time",2008,53,"Leona Lewis",0.202,0.071,0.726,0.9945,0.9,99.23,4.4,416.7,16,23,343,51,"pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black And Yellow",2011,31,"Wiz Khalifa",0.104,0.049,0.846,0.9895,0.9,104.64,5.6,748.8,42,51,653,71,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black Or White",1992,14,"Michael Jackson",0.148,0.114,0.738,0.9343,0.9,99.23,4.4,502.2,36,28,428,66,"disco, pop, hip-hop/rnb, rock, soul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blame It On The Rain",1990,46,"Milli Vanilli",0.068,0.147,0.784,-0.9846,-0.3,107.69,4.4,483.3,23,29,421,61,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blame It On The Rain",1989,21,"Milli Vanilli",0.068,0.147,0.784,-0.9846,-0.3,107.69,4.4,483.3,23,29,421,61,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blowing Kisses In The Wind",1992,73,"Paula Abdul",0.229,0.112,0.66,0.988,0.5,100.24,4,274.5,18,27,225,41,"pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bop Gun",1994,99,"Ice Cube",0.114,0.12,0.766,-0.9054,1.3,98.21,4.8,1650.6,89,65,1356,189,"hip-hop/rnb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Born In The USA",1985,92,"Bruce Springsteen",0.031,0.143,0.826,-0.9786,-0.3,107.69,4.4,298.8,17,21,270,40,"folk, rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bounce With Me",2000,94,"Lil Bow Wow",0.122,0.039,0.838,0.9956,-0.3,107.69,4.4,702,44,29,631,95,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boys 'Round Here",2013,60,"Blake Shelton",0.097,0.027,0.876,0.9859,0.9,99.23,4.4,575.1,37,35,487,75,"country",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Breakin' My Heart",1992,48,"Mint Condition",0.128,0.014,0.858,0.9944,2.1,90.77,4.4,535.5,43,22,426,69,"jazz, rock, soul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bump N' Grind",1994,11,"R. Kelly",0.116,0.172,0.712,-0.729,1.7,97.2,5.2,387,24,16,336,40,"hip-hop/rnb, pop, hip-hop/rnb, soul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bump, Bump, Bump",2003,22,"B2K",0.139,0.04,0.822,0.9969,0.9,99.23,4.4,806.4,46,50,696,104,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bust It Baby Part 2",2008,38,"Plies",0.187,0.045,0.768,0.9984,0.9,104.64,5.6,651.6,32,32,568,63,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
