"","year","position","title","artist","pos_sentiment","neg_sentiment","neut_sentiment","compound_sentiment","f_k_grade","flesch_index","fog_index","num_syllables","difficult_words","num_dupes","num_words","num_lines","genre_tags","id","duration_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","hit"
"1",1958,5,"Patricia","Perez Prado",0.231,0.031,0.738,0.9783,2.9,88.74,5.2,178.2,16,5,141,16,"","1BbZJplex0pifLjhuhoaK5",139840,0.692,0.482,1,-13.401,1,0.0473,0.12,0.482,0.0651,0.825,137.303,4,1
"2",1958,10,"Return To Me","Dean Martin",0.164,0.137,0.699,0.7338,1.7,91.78,4,121.5,14,5,95,17,"pop","4v7NFFHzF9Zl4VxH48tAVt",146867,0.244,0.135,2,-17.002,1,0.0357,0.963,0.00216,0.0931,0.186,88.684,4,1
"3",1958,18,"Twilight Time","Platters",0.26,0.006,0.734,0.9961,0.5,100.24,4,267.3,18,21,219,37,"","3WS86YB39QKBhrEcy1XB9R",141867,0.537,0.341,8,-7.281,1,0.0288,0.839,0.583,0.136,0.539,83.649,4,1
"4",1958,28,"Tom Dooley","Kingston Trio",0.025,0.273,0.702,-0.9978,0.9,99.23,4.4,306,22,35,266,44,"folk","2qLxtO0iaFGI9x19vU3bDI",183973,0.649,0.144,4,-13.986,1,0.0418,0.806,4.55e-06,0.105,0.458,125.74,4,1
"5",1958,29,"Sweet Little Sixteen","Chuck Berry",0.087,0.009,0.904,0.9394,0.1,101.26,3.6,262.8,27,20,218,47,"blues, rock","4GWHrdyVTC0AWwuRgoWzE7",180747,0.507,0.627,1,-7.838,1,0.0354,0.575,0,0.198,0.962,175.309,4,1
"6",1958,37,"Lollipop","Chordettes",0.084,0.033,0.883,0.9308,5.2,66.4,4,352.8,16,50,224,39,"","39n5XlpDnHe1yE7XEJxyxl",126920,0.646,0.331,8,-16.456,1,0.044,0.617,0.049,0.075,0.879,143.324,4,1
"7",1958,38,"Splish Splash","Bobby Darin",0.177,0.018,0.805,0.9814,2.1,90.77,4.4,288.9,33,8,222,36,"folk, pop, rock","40fD7ct05FvQHLdQTgJelG",131720,0.645,0.943,0,-1.526,1,0.0393,0.385,0,0.37,0.965,147.768,4,1
"8",1958,39,"Who's Sorry Now","Connie Francis",0.196,0.224,0.58,0.4767,-1,109.72,3.6,89.1,2,8,83,18,"pop","25PmGrXaD8YCJYEPf13fVI",144133,0.625,0.322,7,-14.974,1,0.0489,0.588,0.0947,0.112,0.898,123.168,4,1
"9",1958,45,"April Love","Pat Boone",0.2,0,0.8,0.975,2.9,88.74,5.2,130.5,11,5,104,12,"country, pop","0atRJghQEvAG7Zbd9mI1cS",223013,0.224,0.244,7,-15.885,1,0.032,0.901,0.728,0.177,0.206,85.757,4,1
"10",1958,50,"Peggy Sue","Buddy Holly",0.475,0,0.525,0.9987,0.5,100.24,4,209.7,5,18,180,32,"pop, rock","2OARIMw1hpehr86Iwmv04c",150960,0.676,0.424,9,-8.132,1,0.0329,0.947,0.000494,0.119,0.493,148.373,4,1
"11",1958,52,"Chantilly Lace","Big Bopper",0.233,0.025,0.742,0.9959,0.5,100.24,4,329.4,18,30,274,49,"pop","07GtDOCxmye5KDWsTSACPk",145267,0.489,0.806,3,-6.054,1,0.0858,0.841,2.96e-05,0.0687,0.944,172.269,4,1
"12",1958,76,"Fever","Peggy Lee",0.149,0.033,0.818,0.9879,0.5,100.24,4,334.8,35,17,275,51,"jazz, pop","5VzS72gm50B1Tg18CXuVvD",164680,0.584,0.358,8,-7.051,1,0.0514,0.747,2.3e-06,0.0818,0.551,105.884,1,1
"13",1958,81,"Ballad of a Teenage Queen","Johnny Cash",0.126,0.032,0.843,0.9843,1.7,97.2,5.2,377.1,19,7,318,36,"blues, country, folk, rock","0PlyzrcKNoaTo5lAVzZCKE",130758,0.676,0.469,11,-9.753,1,0.0615,0.578,1.68e-06,0.192,0.603,97.953,4,1
