,year,position,title,artist,pos_sentiment,neg_sentiment,neut_sentiment,compound_sentiment,f_k_grade,flesch_index,fog_index,num_syllables,difficult_words,num_dupes,num_words,num_lines,tags,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,1985,2,Like A Virgin,Madonna,0.26,0.041,0.699,0.9949,0.5,100.24,4.0,274.5,17,19,227,43,"electronic/dance, electronic/dance, pop",0.771,0.655,3,-10.842,0.0,0.0372,0.152,0.00197,0.0685,0.97,119.747,audio_features,1ZPlNanZsJSPK5h9YZZFbZ,spotify:track:1ZPlNanZsJSPK5h9YZZFbZ,https://api.spotify.com/v1/tracks/1ZPlNanZsJSPK5h9YZZFbZ,https://api.spotify.com/v1/audio-analysis/1ZPlNanZsJSPK5h9YZZFbZ,218627.0,4.0
1,1985,4,I Want To Know What Love Is,Foreigner,0.234,0.032,0.734,0.9971,1.3,98.21,4.800000000000001,417.6,14,21,362,46,rock,0.477,0.471,6,-10.036,1.0,0.0277,0.193,1.76e-06,0.131,0.423,81.204,audio_features,1JLn8RhQzHz3qDqsChcmBl,spotify:track:1JLn8RhQzHz3qDqsChcmBl,https://api.spotify.com/v1/tracks/1JLn8RhQzHz3qDqsChcmBl,https://api.spotify.com/v1/audio-analysis/1JLn8RhQzHz3qDqsChcmBl,304787.0,4.0
2,1985,5,I Feel For You,Chaka Khan,0.147,0.01,0.843,0.9958,0.1,106.67,4.800000000000001,489.6,21,41,440,61,,0.698,0.912,11,-8.993,1.0,0.0675,0.0145,0.0225,0.279,0.797,124.917,audio_features,5yR9u8QiOt8hJaddv32oo7,spotify:track:5yR9u8QiOt8hJaddv32oo7,https://api.spotify.com/v1/tracks/5yR9u8QiOt8hJaddv32oo7,https://api.spotify.com/v1/audio-analysis/5yR9u8QiOt8hJaddv32oo7,343400.0,4.0
3,1985,6,Out Of Touch,Daryl Hall and John Oates,0.043,0.036,0.921,0.3323,0.9,99.23,4.4,435.6,22,33,367,54,,0.806,0.649,9,-9.004,0.0,0.0347,0.0391,5.55e-05,0.0557,0.897,114.834,audio_features,7o67roCVsFiCt7Cf0ZLOJq,spotify:track:7o67roCVsFiCt7Cf0ZLOJq,https://api.spotify.com/v1/tracks/7o67roCVsFiCt7Cf0ZLOJq,https://api.spotify.com/v1/audio-analysis/7o67roCVsFiCt7Cf0ZLOJq,249573.0,4.0
4,1985,7,Everybody Wants To Rule The World,Tears For Fears,0.18,0.063,0.757,0.9757,3.3,82.31,4.4,225.0,22,10,162,27,,0.645,0.795,7,-12.095,1.0,0.0527,0.347,0.00389,0.104,0.535,112.067,audio_features,4RvWPyQ5RL0ao9LPZeSouE,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,https://api.spotify.com/v1/tracks/4RvWPyQ5RL0ao9LPZeSouE,https://api.spotify.com/v1/audio-analysis/4RvWPyQ5RL0ao9LPZeSouE,251489.0,4.0
5,1985,8,Money For Nothing,Dire Straits,0.147,0.0,0.853,0.9903,1.3,98.21,4.800000000000001,377.1,29,17,306,39,rock,0.667,0.655,2,-9.339,0.0,0.0367,0.0491,0.000894,0.0641,0.657,134.212,audio_features,4yqtwO7MQIIXqoiRBPHAgR,spotify:track:4yqtwO7MQIIXqoiRBPHAgR,https://api.spotify.com/v1/tracks/4yqtwO7MQIIXqoiRBPHAgR,https://api.spotify.com/v1/audio-analysis/4yqtwO7MQIIXqoiRBPHAgR,506400.0,4.0
6,1985,9,Crazy For You,Madonna,0.112,0.203,0.685,-0.975,-0.7,108.7,4.0,290.7,12,29,258,47,"electronic/dance, electronic/dance, pop",0.672,0.549,9,-11.93,1.0,0.029,0.168,0.0,0.102,0.588,95.01,audio_features,6G7PVlifniapyhDCmWS2VM,spotify:track:6G7PVlifniapyhDCmWS2VM,https://api.spotify.com/v1/tracks/6G7PVlifniapyhDCmWS2VM,https://api.spotify.com/v1/audio-analysis/6G7PVlifniapyhDCmWS2VM,225627.0,4.0
7,1985,10,Take On Me,a-ha,0.098,0.054,0.848,0.8959,0.5,100.24,4.0,245.7,18,18,205,38,"electronic/dance, pop, rock",0.573,0.902,6,-7.638,0.0,0.054,0.018,0.00125,0.0928,0.876,84.412,audio_features,2WfaOiMkCvy7F5fcp2zZ8L,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/tracks/2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/audio-analysis/2WfaOiMkCvy7F5fcp2zZ8L,225280.0,4.0
8,1985,11,Everytime You Go Away,Paul Young,0.04,0.022,0.938,0.5362,2.5,89.75,4.800000000000001,314.1,15,20,248,32,"pop, rock",0.607,0.643,5,-11.493,1.0,0.0435,0.177,0.000153,0.118,0.715,164.256,audio_features,0IpfTMKENGLJcULkMnU8Rb,spotify:track:0IpfTMKENGLJcULkMnU8Rb,https://api.spotify.com/v1/tracks/0IpfTMKENGLJcULkMnU8Rb,https://api.spotify.com/v1/audio-analysis/0IpfTMKENGLJcULkMnU8Rb,321573.0,4.0
9,1985,14,We Built This City,Starship,0.058,0.045,0.897,0.5903,1.3,98.21,4.800000000000001,512.1,37,42,416,55,"pop, rock",0.661,0.908,5,-4.897,1.0,0.039,0.052,0.0,0.0708,0.656,144.091,audio_features,6OnfBiiSc9RGKiBKKtZXgQ,spotify:track:6OnfBiiSc9RGKiBKKtZXgQ,https://api.spotify.com/v1/tracks/6OnfBiiSc9RGKiBKKtZXgQ,https://api.spotify.com/v1/audio-analysis/6OnfBiiSc9RGKiBKKtZXgQ,296080.0,4.0
