year,position,title,artist,pos_sentiment,neg_sentiment,neut_sentiment,compound_sentiment,f_k_grade,flesch_index,fog_index,num_syllables,difficult_words,num_dupes,num_words,num_lines,tags,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1991,82,Silent Lucidity,Queensryche,0.139,0.055,0.806,0.9622,0.9,99.23,4.4,359.1,36,10,296,46,,0.524,0.816,1,-5.872,1,0.37,0.383,0,0.349,0.789,200.031,audio_features,0jsANwwkkHyyeNyuTFq2XO,spotify:track:0jsANwwkkHyyeNyuTFq2XO,https://api.spotify.com/v1/tracks/0jsANwwkkHyyeNyuTFq2XO,https://api.spotify.com/v1/audio-analysis/0jsANwwkkHyyeNyuTFq2XO,285707,4
1991,85,Real Real Real,Jesus Jones,0.17,0.013,0.817,0.9913,-0.7,108.7,4,267.3,8,33,253,47,,0.612,0.521,7,-7.647,1,0.0304,0.174,0,0.103,0.175,118.016,audio_features,2feekrJqyB9lBEBgC54IQn,spotify:track:2feekrJqyB9lBEBgC54IQn,https://api.spotify.com/v1/tracks/2feekrJqyB9lBEBgC54IQn,https://api.spotify.com/v1/audio-analysis/2feekrJqyB9lBEBgC54IQn,236467,4
1991,87,Everybody Plays The Fool,Aaron Neville,0.167,0.207,0.626,-0.967,4.1,80.28,5.2,364.5,22,16,268,32,"country, jazz, pop, soul",0.721,0.498,10,-7.43,1,0.0274,0.182,0,0.0769,0.558,88.007,audio_features,6PuaQbH3oPmj9XojS0SRaO,spotify:track:6PuaQbH3oPmj9XojS0SRaO,https://api.spotify.com/v1/tracks/6PuaQbH3oPmj9XojS0SRaO,https://api.spotify.com/v1/audio-analysis/6PuaQbH3oPmj9XojS0SRaO,274600,4
1991,90,Disappear,INXS,0.078,0.3,0.623,-0.9969,0.1,101.26,3.6,375.3,24,51,301,67,"pop, rock",0.792,0.694,8,-8.496,0,0.33,0.0619,2.32E-05,0.25,0.804,177.094,audio_features,4LGMSdeKOUoy5Wf75Je0Hl,spotify:track:4LGMSdeKOUoy5Wf75Je0Hl,https://api.spotify.com/v1/tracks/4LGMSdeKOUoy5Wf75Je0Hl,https://api.spotify.com/v1/audio-analysis/4LGMSdeKOUoy5Wf75Je0Hl,309773,4
1991,91,Groove Is In The Heart,Deee-Lite,0.099,0.033,0.867,0.9753,0.5,100.24,4,452.7,44,21,364,64,,0.599,0.543,0,-9.226,1,0.0302,0.0129,0.00204,0.291,0.624,91.105,audio_features,3354J49VpkbZJho7Ztdzpw,spotify:track:3354J49VpkbZJho7Ztdzpw,https://api.spotify.com/v1/tracks/3354J49VpkbZJho7Ztdzpw,https://api.spotify.com/v1/audio-analysis/3354J49VpkbZJho7Ztdzpw,272973,4
1991,93,The One And Only,Chesney Hawkes,0.092,0.006,0.903,0.9694,0.9,99.23,4.4,303.3,19,22,248,40,,0.535,0.505,2,-8.926,0,0.245,0.0393,0,0.0923,0.495,99.935,audio_features,0uEp9E98JB5awlA084uaIg,spotify:track:0uEp9E98JB5awlA084uaIg,https://api.spotify.com/v1/tracks/0uEp9E98JB5awlA084uaIg,https://api.spotify.com/v1/audio-analysis/0uEp9E98JB5awlA084uaIg,320267,4
1991,94,O.P.P.,Naughty By Nature,0.084,0.055,0.861,0.9541,0.9,104.64,5.6,894.6,84,14,795,81,,0.622,0.807,5,-6.752,0,0.408,0.103,0,0.306,0.892,174.06,audio_features,6x4tKaOzfNJpEJHySoiJcs,spotify:track:6x4tKaOzfNJpEJHySoiJcs,https://api.spotify.com/v1/tracks/6x4tKaOzfNJpEJHySoiJcs,https://api.spotify.com/v1/audio-analysis/6x4tKaOzfNJpEJHySoiJcs,220293,4
1991,95,Freedom 90,George Michael,0.187,0.039,0.774,0.9978,0.9,99.23,4.4,637.2,27,20,523,78,"pop, rock",0.588,0.522,9,-6.254,0,0.0383,0.233,0,0.24,0.584,66.024,audio_features,1Dx8rIZaXzZPvUQRF2j9hB,spotify:track:1Dx8rIZaXzZPvUQRF2j9hB,https://api.spotify.com/v1/tracks/1Dx8rIZaXzZPvUQRF2j9hB,https://api.spotify.com/v1/audio-analysis/1Dx8rIZaXzZPvUQRF2j9hB,290600,4
1991,98,Do You Want Me,Salt-N-Pepa,0.163,0.079,0.758,0.973,0.1,106.67,4.8,408.6,23,12,356,50,,0.805,0.802,1,-7.076,1,0.1,0.162,0.000883,0.0698,0.531,127.924,audio_features,7861kBrZ5aw7o4NfggcyYW,spotify:track:7861kBrZ5aw7o4NfggcyYW,https://api.spotify.com/v1/tracks/7861kBrZ5aw7o4NfggcyYW,https://api.spotify.com/v1/audio-analysis/7861kBrZ5aw7o4NfggcyYW,292400,4
1991,99,The Motown Song,Rod Stewart,0.131,0.042,0.827,0.974,1.7,97.2,5.2,375.3,30,24,308,38,"pop, rock",0.626,0.731,7,-8,1,0.0455,0.0211,0.00231,0.249,0.545,79.971,audio_features,70L4pGAmYv0pTADrgsIxpI,spotify:track:70L4pGAmYv0pTADrgsIxpI,https://api.spotify.com/v1/tracks/70L4pGAmYv0pTADrgsIxpI,https://api.spotify.com/v1/audio-analysis/70L4pGAmYv0pTADrgsIxpI,329867,4
1992,1,End Of The Road,Boyz II Men,0.137,0.048,0.814,0.9938,2.5,95.17,6,729.9,33,22,634,63,"pop, soul",0.592,0.499,5,-7.806,1,0.277,0.174,0,0.122,0.863,125.824,audio_features,0Zze3tFRSNwL6KllmYjLgZ,spotify:track:0Zze3tFRSNwL6KllmYjLgZ,https://api.spotify.com/v1/tracks/0Zze3tFRSNwL6KllmYjLgZ,https://api.spotify.com/v1/audio-analysis/0Zze3tFRSNwL6KllmYjLgZ,244416,4
1992,2,Baby Got Back,Sir Mix-a-Lot,0.081,0.037,0.882,0.9661,0.9,99.23,4.4,838.8,91,28,709,111,hip-hop/rnb,0.559,0.504,7,-9.455,1,0.0246,0.106,0,0.13,0.479,89.051,audio_features,64XSAtXpCJUmadm3fkpH4z,spotify:track:64XSAtXpCJUmadm3fkpH4z,https://api.spotify.com/v1/tracks/64XSAtXpCJUmadm3fkpH4z,https://api.spotify.com/v1/audio-analysis/64XSAtXpCJUmadm3fkpH4z,340173,4
1992,3,Jump,Kris Kross,0.048,0.013,0.939,0.9533,1.3,98.21,4.8,700.2,48,48,588,74,,0.393,0.765,11,-5.924,1,0.0481,0.0172,0,0.227,0.274,81.088,audio_features,4Bza6algEDbY8yrm8qMeg7,spotify:track:4Bza6algEDbY8yrm8qMeg7,https://api.spotify.com/v1/tracks/4Bza6algEDbY8yrm8qMeg7,https://api.spotify.com/v1/audio-analysis/4Bza6algEDbY8yrm8qMeg7,295333,4
1992,6,Tears In Heaven,Eric Clapton,0.223,0.026,0.751,0.9857,0.9,104.64,5.6,171.9,5,7,154,16,"blues, pop, reggae, rock",0.877,0.534,1,-6.178,1,0.15,0.0339,1.67E-05,0.0441,0.89,108.17,audio_features,6e8Ou0wiqAzIpWb2eSxll8,spotify:track:6e8Ou0wiqAzIpWb2eSxll8,https://api.spotify.com/v1/tracks/6e8Ou0wiqAzIpWb2eSxll8,https://api.spotify.com/v1/audio-analysis/6e8Ou0wiqAzIpWb2eSxll8,197560,4
1992,8,Under The Bridge,Red Hot Chili Peppers,0.246,0.122,0.632,0.9927,1.7,97.2,5.2,341.1,21,17,274,34,"alternative/indie, rock",0.305,0.323,7,-9.396,1,0.0284,0.483,0,0.107,0.103,135.803,audio_features,0Q7Jp3aCwfYnSnbMDoXWyR,spotify:track:0Q7Jp3aCwfYnSnbMDoXWyR,https://api.spotify.com/v1/tracks/0Q7Jp3aCwfYnSnbMDoXWyR,https://api.spotify.com/v1/audio-analysis/0Q7Jp3aCwfYnSnbMDoXWyR,281533,4
1992,10,Just Another Day,Jon Secada,0.019,0.104,0.877,-0.9146,1.3,98.21,4.8,382.5,18,21,324,46,,0.767,0.551,0,-7.328,1,0.0616,0.00364,0,0.0451,0.796,100.904,audio_features,7MQywXGHEev7JmwwIzMcao,spotify:track:7MQywXGHEev7JmwwIzMcao,https://api.spotify.com/v1/tracks/7MQywXGHEev7JmwwIzMcao,https://api.spotify.com/v1/audio-analysis/7MQywXGHEev7JmwwIzMcao,275707,4
1992,11,I Love Your Smile,Shanice,0.316,0.045,0.638,0.9982,0.9,99.23,4.4,327.6,27,14,279,44,"pop, hip-hop/rnb",0.753,0.831,11,-6.431,0,0.0958,0.173,1.23E-05,0.0927,0.505,124.151,audio_features,5QfobfsCZuyPnCzXHKGs9r,spotify:track:5QfobfsCZuyPnCzXHKGs9r,https://api.spotify.com/v1/tracks/5QfobfsCZuyPnCzXHKGs9r,https://api.spotify.com/v1/audio-analysis/5QfobfsCZuyPnCzXHKGs9r,267328,4
1992,12,To Be With You,Mr. Big,0.117,0.014,0.869,0.9867,0.5,105.66,5.2,370.8,15,17,332,41,,0.593,0.619,3,-9.003,0,0.0976,0.118,0,0.484,0.668,80.02,audio_features,2VjXGuPVVxyhMgER3Uz2Fe,spotify:track:2VjXGuPVVxyhMgER3Uz2Fe,https://api.spotify.com/v1/tracks/2VjXGuPVVxyhMgER3Uz2Fe,https://api.spotify.com/v1/audio-analysis/2VjXGuPVVxyhMgER3Uz2Fe,326533,4
1992,14,Black Or White,Michael Jackson,0.148,0.114,0.738,0.9343,0.9,99.23,4.4,502.2,36,28,428,66,"disco, pop, hip-hop/rnb, rock, soul",0.496,0.47,10,-10.415,1,0.0333,0.0268,0,0.134,0.151,122.094,audio_features,3FN7JMZaaQ9lSzIaan0YZ1,spotify:track:3FN7JMZaaQ9lSzIaan0YZ1,https://api.spotify.com/v1/tracks/3FN7JMZaaQ9lSzIaan0YZ1,https://api.spotify.com/v1/audio-analysis/3FN7JMZaaQ9lSzIaan0YZ1,246227,4
1992,15,Achy Breaky Heart,Billy Ray Cyrus,0.037,0.098,0.865,-0.9628,0.5,105.66,5.2,305.1,14,21,283,32,,0.731,0.595,0,-7.566,1,0.0271,0.302,0,0.107,0.495,104.499,audio_features,4NCw4yDSGuGSpAxmZNCmTN,spotify:track:4NCw4yDSGuGSpAxmZNCmTN,https://api.spotify.com/v1/tracks/4NCw4yDSGuGSpAxmZNCmTN,https://api.spotify.com/v1/audio-analysis/4NCw4yDSGuGSpAxmZNCmTN,296040,4
1992,18,Life Is A Highway,Tom Cochrane,0.084,0.02,0.896,0.9721,2.1,90.77,4.4,458.1,25,25,366,54,"country, rock",0.712,0.773,11,-4.595,0,0.271,0.0243,0,0.13,0.699,100.409,audio_features,4Bh83s84d9YUiuLzeuF24N,spotify:track:4Bh83s84d9YUiuLzeuF24N,https://api.spotify.com/v1/tracks/4Bh83s84d9YUiuLzeuF24N,https://api.spotify.com/v1/audio-analysis/4Bh83s84d9YUiuLzeuF24N,234253,4
1992,19,Remember The Time,Michael Jackson,0.144,0.005,0.851,0.9961,1.3,98.21,4.8,496.8,17,32,399,56,"disco, pop, hip-hop/rnb, rock, soul",0.682,0.543,0,-7.063,0,0.0454,0.494,0,0.158,0.478,71.582,audio_features,5ZCv9I8mgChcYkSrLuLSTc,spotify:track:5ZCv9I8mgChcYkSrLuLSTc,https://api.spotify.com/v1/tracks/5ZCv9I8mgChcYkSrLuLSTc,https://api.spotify.com/v1/audio-analysis/5ZCv9I8mgChcYkSrLuLSTc,218467,4
1992,20,Finally,CeCe Peniston,0.133,0.025,0.842,0.9855,0.9,99.23,4.4,421.2,18,46,337,51,"electronic/dance, pop",0.657,0.639,10,-7.527,1,0.0412,0.581,0,0.278,0.674,124.882,audio_features,6sxptembJVty4sNtcPMAVz,spotify:track:6sxptembJVty4sNtcPMAVz,https://api.spotify.com/v1/tracks/6sxptembJVty4sNtcPMAVz,https://api.spotify.com/v1/audio-analysis/6sxptembJVty4sNtcPMAVz,234493,4
1992,21,This Used To Be My Playground,Madonna,0.079,0.07,0.85,0.0772,6,69.79,6,46.8,9,0,32,3,"electronic/dance, electronic/dance, pop",0.412,0.829,4,-11.112,1,0.529,0.394,0,0.108,0.677,191.476,audio_features,4agp6oHofabdUedr0B1krj,spotify:track:4agp6oHofabdUedr0B1krj,https://api.spotify.com/v1/tracks/4agp6oHofabdUedr0B1krj,https://api.spotify.com/v1/audio-analysis/4agp6oHofabdUedr0B1krj,265533,4
1992,24,Jump Around,House Of Pain,0.055,0.09,0.855,-0.9754,-0.3,107.69,4.4,576,35,38,506,77,,0.733,0.395,6,-11.959,0,0.0366,0.279,2.37E-06,0.468,0.661,96.085,audio_features,2zbjlcLi1VQWqDNYdhyx1l,spotify:track:2zbjlcLi1VQWqDNYdhyx1l,https://api.spotify.com/v1/tracks/2zbjlcLi1VQWqDNYdhyx1l,https://api.spotify.com/v1/audio-analysis/2zbjlcLi1VQWqDNYdhyx1l,276067,4
1992,27,Masterpiece,Atlantic Starr,0.342,0.02,0.638,0.9989,0.5,100.24,4,378,17,28,310,53,"disco, pop",0.682,0.579,2,-6.526,0,0.101,0.467,2.21E-06,0.0952,0.712,76.915,audio_features,015A6ZcNAWSSuwY7iDcD1b,spotify:track:015A6ZcNAWSSuwY7iDcD1b,https://api.spotify.com/v1/tracks/015A6ZcNAWSSuwY7iDcD1b,https://api.spotify.com/v1/audio-analysis/015A6ZcNAWSSuwY7iDcD1b,278760,4
1992,28,If You Asked Me To,Celine Dion,0.061,0.008,0.931,0.9436,0.9,99.23,4.4,365.4,22,28,304,44,pop,0.723,0.674,7,-7.427,1,0.0297,0.0986,1.83E-05,0.279,0.61,124.9,audio_features,2HmMklpgK8vGCpJmPpz1yG,spotify:track:2HmMklpgK8vGCpJmPpz1yG,https://api.spotify.com/v1/tracks/2HmMklpgK8vGCpJmPpz1yG,https://api.spotify.com/v1/audio-analysis/2HmMklpgK8vGCpJmPpz1yG,188200,4
1992,29,Giving Him Something He Can Feel,En Vogue,0.205,0.037,0.758,0.9828,-0.3,107.69,4.4,174.6,15,4,156,23,,0.745,0.742,10,-5.693,1,0.0259,0.42,0,0.102,0.806,95.996,audio_features,1UI0l2L66HJ9AtoEOlHzv4,spotify:track:1UI0l2L66HJ9AtoEOlHzv4,https://api.spotify.com/v1/tracks/1UI0l2L66HJ9AtoEOlHzv4,https://api.spotify.com/v1/audio-analysis/1UI0l2L66HJ9AtoEOlHzv4,245067,4
1992,32,Smells Like Teen Spirit,Nirvana,0.157,0.178,0.664,0.5076,3.3,82.31,4.4,344.7,20,37,253,42,"pop, rock",0.69,0.66,0,-4.977,1,0.163,0.000361,0.000427,0.0725,0.177,170.247,audio_features,1ig7ym81PO34a90stVFtaf,spotify:track:1ig7ym81PO34a90stVFtaf,https://api.spotify.com/v1/tracks/1ig7ym81PO34a90stVFtaf,https://api.spotify.com/v1/audio-analysis/1ig7ym81PO34a90stVFtaf,325139,4
1992,34,Damn I Wish I Was Your Lover,Sophie B. Hawkins,0.264,0.105,0.631,0.9984,1.3,98.21,4.8,622.8,44,37,519,65,"pop, rock",0.849,0.635,0,-9.425,1,0.266,0.0344,0,0.082,0.856,92.003,audio_features,3MPKTMJIxlORqcxw542HHK,spotify:track:3MPKTMJIxlORqcxw542HHK,https://api.spotify.com/v1/tracks/3MPKTMJIxlORqcxw542HHK,https://api.spotify.com/v1/audio-analysis/3MPKTMJIxlORqcxw542HHK,213907,4
1992,38,Move This,Technotronic,0.041,0.087,0.872,-0.9118,1.7,91.78,4,732.6,23,81,585,114,,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97E-06,0.0942,0.497,155.925,audio_features,6Qyc6fS4DsZjB2mRW9DsQs,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,https://api.spotify.com/v1/tracks/6Qyc6fS4DsZjB2mRW9DsQs,https://api.spotify.com/v1/audio-analysis/6Qyc6fS4DsZjB2mRW9DsQs,289533,3
1992,40,Tennessee,Arrested Development,0.076,0.108,0.816,-0.9471,2.1,90.77,4.4,786.6,63,43,607,90,,0.764,0.594,6,-10.05,1,0.186,0.588,0,0.203,0.697,87.262,audio_features,67okiHFVAJY6ZvVoLSFQae,spotify:track:67okiHFVAJY6ZvVoLSFQae,https://api.spotify.com/v1/tracks/67okiHFVAJY6ZvVoLSFQae,https://api.spotify.com/v1/audio-analysis/67okiHFVAJY6ZvVoLSFQae,288267,4
1992,41,The Best Things In Life Are Free,Luther Vandross,0.298,0.02,0.682,0.9998,1.3,98.21,4.8,822.6,47,29,708,92,"pop, soul",0.729,0.688,3,-7.468,1,0.0264,0.127,9.44E-06,0.295,0.671,123.867,audio_features,1TanmIWbaUj5NVwJ3k4XPd,spotify:track:1TanmIWbaUj5NVwJ3k4XPd,https://api.spotify.com/v1/tracks/1TanmIWbaUj5NVwJ3k4XPd,https://api.spotify.com/v1/audio-analysis/1TanmIWbaUj5NVwJ3k4XPd,219600,4
1992,42,Make It Happen,Mariah Carey,0.086,0.051,0.864,0.8454,0.5,100.24,4,433.8,19,47,369,71,"pop, hip-hop/rnb",,,,,,,,,,,,,,,,,,
1992,43,The One,Elton John,0.18,0.112,0.708,0.9744,2.1,90.77,4.4,322.2,22,23,246,40,"pop, rock",0.608,0.507,10,-8.294,1,0.0243,0.114,0,0.103,0.265,84.924,audio_features,4R3BvvUm5fe8SCPs6287dY,spotify:track:4R3BvvUm5fe8SCPs6287dY,https://api.spotify.com/v1/tracks/4R3BvvUm5fe8SCPs6287dY,https://api.spotify.com/v1/audio-analysis/4R3BvvUm5fe8SCPs6287dY,278440,4
1992,44,Set Adrift On Memory Bliss,P.M. Dawn,0.136,0.058,0.806,0.991,0.9,99.23,4.4,581.4,49,41,482,72,,0.529,0.496,7,-9.007,1,0.029,0.173,0,0.251,0.278,136.859,audio_features,3y4LxiYMgDl4RethdzpmNe,spotify:track:3y4LxiYMgDl4RethdzpmNe,https://api.spotify.com/v1/tracks/3y4LxiYMgDl4RethdzpmNe,https://api.spotify.com/v1/audio-analysis/3y4LxiYMgDl4RethdzpmNe,250547,4
1992,52,Good For Me,Amy Grant,0.32,0.033,0.647,0.9982,-0.3,107.69,4.4,295.2,10,18,269,41,,0.739,0.947,11,-1.916,0,0.0411,0.00916,3.14E-05,0.326,0.766,88.009,audio_features,7f1Dmr246cJ9uQYdbplTbh,spotify:track:7f1Dmr246cJ9uQYdbplTbh,https://api.spotify.com/v1/tracks/7f1Dmr246cJ9uQYdbplTbh,https://api.spotify.com/v1/audio-analysis/7f1Dmr246cJ9uQYdbplTbh,261933,4
1992,54,When A Man Loves A Woman,Michael Bolton,0.275,0.096,0.629,0.9925,-0.3,107.69,4.4,223.2,13,7,202,29,"pop, rock",0.794,0.662,6,-4.913,0,0.249,0.0789,0,0.0937,0.683,93.053,audio_features,6Wnlq1Pu3I0BajLvxn05Vr,spotify:track:6Wnlq1Pu3I0BajLvxn05Vr,https://api.spotify.com/v1/tracks/6Wnlq1Pu3I0BajLvxn05Vr,https://api.spotify.com/v1/audio-analysis/6Wnlq1Pu3I0BajLvxn05Vr,284640,4
1992,56,Hazard,Richard Marx,0.086,0.114,0.8,-0.0258,1.3,98.21,4.8,256.5,23,10,209,28,pop,0.706,0.888,2,-6.959,1,0.0654,0.119,9.64E-05,0.07,0.714,121.549,audio_features,5Mmk2ii6laakqfeCT7OnVD,spotify:track:5Mmk2ii6laakqfeCT7OnVD,https://api.spotify.com/v1/tracks/5Mmk2ii6laakqfeCT7OnVD,https://api.spotify.com/v1/audio-analysis/5Mmk2ii6laakqfeCT7OnVD,253733,4
1992,57,Mysterious Ways,U2,0.224,0.032,0.744,0.9918,1.3,98.21,4.8,336.6,17,14,272,38,,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.10E-05,0.168,0.543,99.009,audio_features,6ZOBP3NvffbU4SZcrnt1k6,spotify:track:6ZOBP3NvffbU4SZcrnt1k6,https://api.spotify.com/v1/tracks/6ZOBP3NvffbU4SZcrnt1k6,https://api.spotify.com/v1/audio-analysis/6ZOBP3NvffbU4SZcrnt1k6,233933,4
1992,58,Too Funky,George Michael,0.228,0.026,0.746,0.9976,2.1,90.77,4.4,468,25,26,364,53,"pop, rock",0.736,0.802,7,-8.527,1,0.0663,0.00149,0.0876,0.14,0.871,119.854,audio_features,2BcOZ4vOeu2qZowIHrvTYy,spotify:track:2BcOZ4vOeu2qZowIHrvTYy,https://api.spotify.com/v1/tracks/2BcOZ4vOeu2qZowIHrvTYy,https://api.spotify.com/v1/audio-analysis/2BcOZ4vOeu2qZowIHrvTYy,225973,4
1992,59,How Do You Talk To An Angel,Heights,0.12,0.03,0.85,0.9583,0.1,106.67,4.8,226.8,4,22,205,26,,0.754,0.819,0,-6.833,1,0.112,0.0684,0,0.345,0.818,142.137,audio_features,5bGmuxShUba9maPswDnhCs,spotify:track:5bGmuxShUba9maPswDnhCs,https://api.spotify.com/v1/tracks/5bGmuxShUba9maPswDnhCs,https://api.spotify.com/v1/audio-analysis/5bGmuxShUba9maPswDnhCs,215800,4
1992,59,How Do You Talk To An Angel,Heights,0.12,0.03,0.85,0.9583,0.1,106.67,4.8,226.8,4,22,205,26,,0.84,0.835,1,-4.386,0,0.275,0.00281,1.11E-06,0.152,0.637,103.376,audio_features,41nT1Sp6ChR65FbsdLlFHW,spotify:track:41nT1Sp6ChR65FbsdLlFHW,https://api.spotify.com/v1/tracks/41nT1Sp6ChR65FbsdLlFHW,https://api.spotify.com/v1/audio-analysis/41nT1Sp6ChR65FbsdLlFHW,207907,4
