"title","year","position","artist","pos_sentiment","neg_sentiment","neut_sentiment","compound_sentiment","f_k_grade","flesch_index","fog_index","num_syllables","difficult_words","num_dupes","num_words","num_lines","tags","id","popularity","duration_ms","explicit","artists","id_artists","release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"...Baby One More Time",1999,5,"Britney Spears",0.062,0.126,0.812,-0.9792,2.9,88.74,5.2,391.5,17,25,313,39,"electronic/dance, pop","3MjUtNVVq3C8Fn0MP3zhXa",80,211067,0,"['Britney Spears']","['26dSoYclwsYLMAKD3tpOr4']","1999-01-12",0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,4
"(Everything I Do) I Do It For You",1991,1,"Bryan Adams",0.151,0.141,0.708,0.8643,-0.3,107.69,4.4,258.3,6,12,233,36,"rock","1Eb90nmqTrxylKFhcUzW8P",77,393640,0,"['Bryan Adams']","['3Z02hBLubJxuFJfhacLSDc']","1991-09-24",0.533,0.36,1,-12.633,1,0.0282,0.0805,1.03e-05,0.0631,0.299,131.229,4
"(I Just) Died In Your Arms",1987,32,"Cutting Crew",0.07,0.164,0.766,-0.9866,0.9,99.23,4.4,372.6,26,31,310,45,"","4ByEFOBuLXpCqvO1kw8Wdm",74,280400,0,"['Cutting Crew']","['3cniTumSiUysiPWXapGx1i']","1986-01-01",0.625,0.726,11,-11.402,0,0.0444,0.0158,0.000169,0.0625,0.507,124.945,4
"1 Thing",2005,67,"Amerie",0.087,0.009,0.904,0.9821,-1.1,115.13,4.8,511.2,22,53,535,70,"","6ZyNjT2hYvfV5PuW84dp1E",55,238747,0,"['Amerie']","['08rMCq2ek1YjdDBsCPVH2s']","2008",0.636,0.946,10,-4.683,0,0.332,0.115,3.75e-05,0.0416,0.891,125.085,5
"1979",1996,44,"Smashing Pumpkins",0.073,0.144,0.783,-0.9097,0.9,99.23,4.4,274.5,27,10,222,33,"alternative/indie, rock","3h5zik31hTTat9jmpCZZNC",54,263573,0,"['The Smashing Pumpkins']","['40Yq4vzPs9VNUrIBG5Jr2i']","2001-01-01",0.768,0.782,3,-10.231,1,0.033,0.021,0.683,0.0802,0.964,127.042,4
"2 Become 1",1997,35,"Spice Girls",0.273,0.022,0.705,0.9989,2.1,90.77,4.4,524.7,24,48,391,56,"pop","36AWdhZIGLUTkWpJDhe7va",67,241027,0,"['Spice Girls']","['0uq5PttqEjj3IH1bzwcrXF']","1996-01-01",0.646,0.665,6,-7.878,1,0.0268,0.326,1.97e-05,0.238,0.7,143.966,4
"21 Guns",2009,78,"Green Day",0.054,0.158,0.787,-0.9837,-0.3,107.69,4.4,273.6,11,21,247,40,"pop, rock","3IHHqmfKJHyI0obINUdg1W",49,322040,0,"['Green Day']","['7oPftvlwr6VrsViSDV7fJY']","2009-05-15",0.26,0.719,5,-4.765,1,0.0364,0.048,0,0.454,0.419,159.072,4
"21 Questions",2003,14,"50 Cent",0.245,0.032,0.724,0.9994,0.9,104.64,5.6,711,43,32,632,70,"hip-hop/rnb","41bIQPBE1lFN0mmw6Lmssz",72,224427,1,"['50 Cent', 'Nate Dogg']","['3q7HBObVc0L8jNeTe5Gofh', '1Oa0bMld0A3u5OTYfMzp5h']","2003-02-06",0.576,0.807,6,-3.908,0,0.317,0.353,0.000363,0.0512,0.908,90.012,4
"22",2013,71,"Taylor Swift",0.257,0.068,0.675,0.9977,2.5,89.75,4.8,526.5,33,25,393,50,"country, pop","07L6tEZIfCX3GZAWCpGj0e",64,159188,0,"['TINI', 'Greeicy']","['7vXDAI8JwjW531ouMGbfcp', '5dbaLmK5SHLLg8Z4CcTJpX']","2019-05-03",0.704,0.643,1,-4.705,0,0.0903,0.00807,0,0.0895,0.806,176.038,4
"3",2010,69,"Britney Spears",0.13,0.023,0.847,0.9919,1.3,92.8,3.6,470.7,24,69,373,89,"electronic/dance, pop","5pVAsZEX0vPOAqyCrxSCzt",45,248093,0,"['Abel Pintos']","['6HTUcOExehqydqa7C3usAa']","2016-10-07",0.536,0.509,2,-5.272,1,0.0388,0.439,0,0.113,0.398,83.902,4
