year,position,title,artist,pos_sentiment,neg_sentiment,neut_sentiment,compound_sentiment,f_k_grade,flesch_index,fog_index,num_syllables,difficult_words,num_dupes,num_words,num_lines,tags
1985,2,Like A Virgin,Madonna,0.26,0.041,0.699,0.9949,0.5,100.24,4.0,274.5,17,19,227,43,"electronic/dance, electronic/dance, pop"
1985,4,I Want To Know What Love Is,Foreigner,0.234,0.032,0.734,0.9971,1.3,98.21,4.800000000000001,417.6,14,21,362,46,rock
1985,5,I Feel For You,Chaka Khan,0.147,0.01,0.843,0.9958,0.1,106.67,4.800000000000001,489.6,21,41,440,61,
1985,6,Out Of Touch,Daryl Hall and John Oates,0.043,0.036,0.921,0.3323,0.9,99.23,4.4,435.6,22,33,367,54,
1985,7,Everybody Wants To Rule The World,Tears For Fears,0.18,0.063,0.757,0.9757,3.3,82.31,4.4,225.0,22,10,162,27,
1985,8,Money For Nothing,Dire Straits,0.147,0.0,0.853,0.9903,1.3,98.21,4.800000000000001,377.1,29,17,306,39,rock
1985,9,Crazy For You,Madonna,0.112,0.203,0.685,-0.975,-0.7,108.7,4.0,290.7,12,29,258,47,"electronic/dance, electronic/dance, pop"
1985,10,Take On Me,a-ha,0.098,0.054,0.848,0.8959,0.5,100.24,4.0,245.7,18,18,205,38,"electronic/dance, pop, rock"
1985,11,Everytime You Go Away,Paul Young,0.04,0.022,0.938,0.5362,2.5,89.75,4.800000000000001,314.1,15,20,248,32,"pop, rock"
1985,13,Can't Fight This Feeling,REO Speedwagon,0.142,0.079,0.779,0.9387,2.9,88.74,5.2,394.2,19,20,307,37,rock
1985,14,We Built This City,Starship,0.058,0.045,0.897,0.5903,1.3,98.21,4.800000000000001,512.1,37,42,416,55,"pop, rock"
1985,15,The Power Of Love,Huey Lewis and The News,0.262,0.092,0.646,0.996,1.3,98.21,4.800000000000001,348.3,18,12,294,38,
1985,16,Don't You,Simple Minds,0.074,0.084,0.841,-0.5399,-0.7,108.7,4.0,358.2,19,35,319,55,"electronic/dance, pop, rock"
1985,17,Cherish,Kool and The Gang,0.472,0.0,0.528,0.9995,2.5,89.75,4.800000000000001,369.9,10,24,277,38,disco
1985,18,St. Elmo's Fire,John Parr,0.059,0.071,0.87,-0.4939,0.5,100.24,4.0,432.9,33,36,363,63,
1985,19,The Heat Is On,Glenn Frey,0.036,0.009,0.955,0.7845,-0.3,107.69,4.4,329.4,19,29,290,42,
1985,21,Shout,Tears For Fears,0.085,0.021,0.894,0.9792,0.1,106.67,4.800000000000001,439.2,7,42,385,50,
1985,22,Part-Time Lover,Stevie Wonder,0.319,0.019,0.662,0.9983,0.9,99.23,4.4,293.4,17,19,237,38,"pop, soul"
1985,23,Saving All My Love For You,Whitney Houston,0.277,0.055,0.668,0.996,1.3,98.21,4.800000000000001,268.2,19,7,225,29,pop
1985,24,Heaven,Bryan Adams,0.218,0.037,0.744,0.9955,0.9,99.23,4.4,327.6,22,23,281,46,rock
1985,26,Cool It Now,New Edition,0.204,0.046,0.75,0.9986,-0.7,108.7,4.0,673.2,23,58,597,104,"pop, hip-hop/rnb"
1985,28,Loverboy,Billy Ocean,0.477,0.031,0.491,0.9991,0.5,100.24,4.0,261.0,21,13,214,42,"disco, pop"
1985,29,Lover Girl,Teena Marie,0.187,0.004,0.809,0.9958,0.5,105.66,5.2,428.4,13,30,391,44,"hip-hop/rnb, rock"
1985,30,You Belong To The City,Glenn Frey,0.023,0.033,0.943,-0.4019,0.9,99.23,4.4,328.5,21,23,276,44,
1985,31,Oh Sheila,Ready For The World,0.202,0.021,0.777,0.996,0.9,99.23,4.4,376.2,20,35,315,52,
1985,32,Rhythm Of The Night,Debarge,0.091,0.1,0.809,0.202,2.1,96.18,5.6000000000000005,510.3,25,22,441,46,
1985,33,One More Night,Phil Collins,0.036,0.025,0.94,0.2778,1.7,91.78,4.0,376.2,10,31,298,52,"jazz, pop, rock"
1985,37,You're The Inspiration,Chicago,0.211,0.0,0.789,0.9966,2.1,90.77,4.4,366.3,10,35,286,43,"jazz, pop, rock"
1985,38,Neutron Dance,Pointer Sisters,0.096,0.104,0.8,0.6801,0.1,101.26,3.6,333.9,26,40,282,64,
1985,39,We Belong,Pat Benatar,0.129,0.138,0.733,-0.3311,2.1,90.77,4.4,400.5,31,28,312,52,
1985,40,Nightshift,Commodores,0.153,0.019,0.828,0.9933,0.9,99.23,4.4,450.9,26,13,369,54,
1985,41,Things Can Only Get Better,Howard Jones,0.152,0.048,0.8,0.9743,1.7,91.78,4.0,301.5,24,27,235,41,
1985,43,Freeway Of Love,Aretha Franklin,0.256,0.03,0.714,0.9989,2.1,90.77,4.4,570.6,44,32,449,74,"jazz, pop, hip-hop/rnb, rock, soul"
1985,44,Never Surrender,Corey Hart,0.0,0.094,0.906,-0.9654,0.5,100.24,4.0,311.4,9,25,250,43,
1985,45,Sussudio,Phil Collins,0.073,0.03,0.897,0.8589,0.9,99.23,4.4,270.9,16,16,218,33,"jazz, pop, rock"
1985,46,Strut,Sheena Easton,0.092,0.102,0.806,-0.6511,0.9,99.23,4.4,365.4,20,30,307,48,"country, electronic/dance, pop"
1985,47,You Give Good Love,Whitney Houston,0.397,0.015,0.589,0.9985,0.9,99.23,4.4,236.7,14,18,192,30,pop
1985,48,The Search Is Over,Survivor,0.18,0.065,0.755,0.9877,2.1,96.18,5.6000000000000005,331.2,34,11,281,30,
1985,49,Missing You,Diana Ross,0.074,0.105,0.821,-0.7457,0.5,100.24,4.0,285.3,20,13,247,49,"disco, jazz, pop, hip-hop/rnb, soul"
1985,50,Separate Lives,Phil Collins,0.142,0.101,0.756,0.9386,1.7,97.2,5.2,247.5,17,5,202,25,"jazz, pop, rock"
1985,52,Suddenly,Billy Ocean,0.251,0.0,0.749,0.9952,3.7,81.29,4.800000000000001,262.8,18,13,189,27,"disco, pop"
1985,53,The Boys Of Summer,Don Henley,0.134,0.025,0.841,0.9877,2.5,95.17,6.0,353.7,26,13,303,28,"folk, rock"
1985,54,One Night In Bangkok,Murray Head,0.102,0.126,0.772,-0.8428,2.5,89.75,4.800000000000001,541.8,63,31,410,52,rock
1985,56,Obsession,Animotion,0.086,0.175,0.739,-0.9904,1.7,91.78,4.0,542.7,42,51,427,76,pop
1985,57,We Don't Need Another Hero,Tina Turner,0.074,0.102,0.824,-0.8315,1.7,91.78,4.0,285.3,21,19,220,38,"pop, hip-hop/rnb, rock, soul"
1985,58,Material Girl,Madonna,0.069,0.028,0.903,0.9257,2.5,89.75,4.800000000000001,445.5,14,34,341,43,"electronic/dance, electronic/dance, pop"
1985,59,Better Be Good To Me,Tina Turner,0.32,0.023,0.657,0.9995,-0.7,108.7,4.0,574.2,19,60,530,98,"pop, hip-hop/rnb, rock, soul"
1985,60,Head Over Heels,Tears For Fears,0.059,0.054,0.888,0.6023,0.9,99.23,4.4,420.3,28,26,355,54,
1985,62,Smooth Operator,Sade,0.173,0.058,0.77,0.9818,5.2,71.82,5.2,319.5,32,29,213,26,
1985,63,In My House,Mary Jane Girls,0.121,0.028,0.851,0.9863,2.5,89.75,4.800000000000001,387.9,15,28,293,39,
1985,64,Don't Lose My Number,Phil Collins,0.109,0.081,0.81,0.0026,2.1,96.18,5.6000000000000005,454.5,16,24,367,37,"jazz, pop, rock"
1985,65,All Through The Night,Cyndi Lauper,0.022,0.103,0.875,-0.9262,-1.0,109.72,3.6,258.3,11,31,237,48,"blues, pop"
1985,66,Run To You,Bryan Adams,0.186,0.016,0.798,0.9944,0.1,106.67,4.800000000000001,279.9,4,24,262,36,rock
1985,67,Glory Days,Bruce Springsteen,0.323,0.027,0.65,0.9987,1.3,98.21,4.800000000000001,399.6,32,31,347,44,"folk, rock"
1985,69,Misled,Kool and The Gang,0.232,0.05,0.718,0.9978,0.9,99.23,4.4,463.5,26,26,400,59,disco
1985,70,Would I Lie To You?,Eurythmics,0.04,0.019,0.941,0.6868,0.5,100.24,4.0,283.5,12,37,238,45,"electronic/dance, pop, hip-hop/rnb, rock"
1985,72,No More Lonely Nights,Paul McCartney,0.039,0.246,0.715,-0.9889,1.7,91.78,4.0,253.8,9,17,203,34,"classical/soundtrack, folk, pop, rock"
1985,73,I Can't Hold Back,Survivor,0.129,0.044,0.827,0.9775,-0.3,107.69,4.4,322.2,14,26,291,45,
1985,74,Summer Of '69,Bryan Adams,0.134,0.023,0.844,0.9842,-0.3,107.69,4.4,312.3,26,13,277,41,rock
1985,75,Walking On Sunshine,Katrina and The Waves,0.232,0.119,0.649,0.9957,0.1,106.67,4.800000000000001,423.9,13,32,395,54,
1985,80,Solid,Ashford and Simpson,0.276,0.033,0.691,0.9976,-1.0,109.72,3.6,402.3,25,50,358,76,
1985,81,Angel,Madonna,0.055,0.06,0.885,0.0,1.7,91.78,4.0,279.9,21,28,220,41,"electronic/dance, electronic/dance, pop"
1985,82,I'm On Fire,Bruce Springsteen,0.1,0.187,0.712,-0.8541,1.3,98.21,4.800000000000001,144.9,11,5,116,16,"folk, rock"
1985,83,Method Of Modern Love,Daryl Hall and John Oates,0.202,0.034,0.764,0.9965,4.1,74.86,4.0,473.4,24,43,323,54,
1985,84,Lay Your Hands On Me,Thompson Twins,0.122,0.031,0.847,0.9818,-1.8,117.16,4.0,338.4,10,29,324,55,
1985,85,Who's Holding Donna Now,Debarge,0.052,0.0,0.948,0.9002,0.5,100.24,4.0,322.2,17,29,263,50,
1985,86,Lonely Ol' Night,John Cougar Mellencamp,0.134,0.219,0.646,-0.9539,1.3,98.21,4.800000000000001,295.2,17,19,241,33,"pop, rock"
1985,87,What About Love,Heart,0.136,0.074,0.79,0.9494,0.5,100.24,4.0,238.5,15,16,191,34,rock
1985,89,Fresh,Kool and The Gang,0.302,0.018,0.68,0.9989,-0.7,108.7,4.0,450.0,20,55,399,77,disco
1985,90,Do What You Do,Jermaine Jackson,0.21,0.122,0.667,0.9837,0.1,106.67,4.800000000000001,243.9,5,17,225,32,
1985,92,Born In The USA,Bruce Springsteen,0.031,0.143,0.826,-0.9786,-0.3,107.69,4.4,298.8,17,21,270,40,"folk, rock"
1985,93,Private Dancer,Tina Turner,0.055,0.0,0.945,0.9226,3.3,93.14,6.800000000000001,484.2,20,16,394,31,"pop, hip-hop/rnb, rock, soul"
1985,94,Who's Zoomin' Who,Aretha Franklin,0.061,0.004,0.935,0.9525,0.1,101.26,3.6,480.6,23,45,399,85,"jazz, pop, hip-hop/rnb, rock, soul"
1985,96,Penny Lover,Lionel Richie,0.304,0.069,0.627,0.9971,0.9,99.23,4.4,291.6,16,13,240,38,"pop, soul"
1985,97,All She Wants To Do Is Dance,Don Henley,0.087,0.025,0.888,0.9741,-0.7,108.7,4.0,369.9,24,33,328,55,"folk, rock"
1985,98,Dress You Up,Madonna,0.242,0.0,0.758,0.9912,0.9,99.23,4.4,168.3,14,9,137,21,"electronic/dance, electronic/dance, pop"
1985,99,Sentimental Street,Night Ranger,0.141,0.051,0.808,0.9876,1.7,91.78,4.0,428.4,25,24,336,60,
1985,100,Sugar Walls,Sheena Easton,0.118,0.048,0.834,0.9523,1.3,92.8,3.6,303.3,24,33,225,54,"country, electronic/dance, pop"
1986,2,"Say You, Say Me",Lionel Richie,0.112,0.055,0.834,0.9022,0.5,100.24,4.0,252.9,19,29,214,36,"pop, soul"
1986,4,On My Own,Patti Labelle,0.133,0.059,0.808,0.983,0.9,99.23,4.4,398.7,22,26,338,52,
1986,5,Broken Wings,Mr. Mister,0.227,0.073,0.699,0.9944,-0.3,107.69,4.4,306.0,9,26,277,43,
1986,6,How Will I Know,Whitney Houston,0.259,0.057,0.683,0.9989,-0.3,107.69,4.4,460.8,18,36,420,64,pop
1986,7,Party All The Time,Eddie Murphy,0.323,0.012,0.666,0.9975,1.7,97.2,5.2,289.8,14,12,232,28,
1986,8,Burning Heart,Survivor,0.097,0.185,0.718,-0.9318,2.1,90.77,4.4,223.2,29,8,167,24,
1986,9,Kyrie,Mr. Mister,0.015,0.048,0.937,-0.8378,2.5,89.75,4.800000000000001,385.2,20,57,308,42,
1986,10,Addicted To Love,Robert Palmer,0.423,0.008,0.569,0.9999,2.5,89.75,4.800000000000001,648.9,14,55,506,66,"pop, rock"
1986,11,Greatest Love Of All,Whitney Houston,0.367,0.042,0.59,0.9991,2.5,89.75,4.800000000000001,393.3,27,20,298,39,pop
1986,12,Secret Lovers,Atlantic Starr,0.157,0.131,0.712,0.9127,1.7,97.2,5.2,364.5,22,13,307,37,"disco, pop"
1986,14,Glory Of Love,Peter Cetera,0.305,0.061,0.634,0.9975,0.9,99.23,4.4,309.6,20,18,250,37,
1986,15,West End Girls,Pet Shop Boys,0.019,0.061,0.92,-0.9013,-0.3,107.69,4.4,354.6,31,34,325,53,"disco, electronic/dance, pop"
1986,16,There'll Be Sad Songs,Billy Ocean,0.25,0.097,0.652,0.9961,0.9,99.23,4.4,351.0,19,29,292,46,"disco, pop"
1986,17,Alive And Kicking,Simple Minds,0.206,0.013,0.781,0.9982,-1.0,109.72,3.6,485.1,17,56,429,89,"electronic/dance, pop, rock"
1986,18,Never,Heart,0.138,0.053,0.809,0.9727,1.7,91.78,4.0,360.0,15,44,286,53,rock
1986,20,Higher Love,Steve Winwood,0.329,0.067,0.604,0.999,0.9,99.23,4.4,404.1,18,37,334,51,"pop, rock"
1986,21,Stuck With You,Huey Lewis and The News,0.267,0.07,0.663,0.9977,-0.3,107.69,4.4,354.6,11,25,324,49,
1986,22,Holding Back The Years,Simply Red,0.12,0.187,0.693,-0.9381,0.5,100.24,4.0,189.9,18,16,154,30,pop
1986,23,Sledgehammer,Peter Gabriel,0.183,0.011,0.805,0.9955,-0.3,107.69,4.4,425.7,21,17,377,56,"folk, pop, rock, classical/soundtrack"
1986,24,Sara,Starship,0.185,0.155,0.659,0.9186,2.9,88.74,5.2,324.9,22,31,244,29,"pop, rock"
1986,25,Human,Human League,0.039,0.219,0.742,-0.9812,2.1,90.77,4.4,223.2,17,19,175,28,"electronic/dance, pop"
1986,26,I Can't Wait,Nu Shooz,0.048,0.138,0.813,-0.9529,-0.7,108.7,4.0,219.6,12,20,198,36,
1986,27,Take My Breath Away,Berlin,0.129,0.073,0.798,0.9393,2.5,84.34,3.6,258.3,29,24,182,38,
1986,29,Papa Don't Preach,Madonna,0.106,0.157,0.737,-0.9511,1.7,97.2,5.2,369.0,22,16,315,39,"electronic/dance, electronic/dance, pop"
1986,30,You Give Love A Bad Name,Bon Jovi,0.317,0.196,0.487,0.9951,0.9,99.23,4.4,365.4,9,35,299,49,rock
1986,31,When The Going Gets Tough,Billy Ocean,0.194,0.072,0.735,0.993,-0.3,107.69,4.4,287.1,22,19,257,39,"disco, pop"
1986,32,When I Think Of You,Janet Jackson,0.162,0.015,0.822,0.9875,-0.7,108.7,4.0,251.1,11,21,221,39,"electronic/dance, pop"
1986,33,These Dreams,Heart,0.141,0.059,0.8,0.9827,2.1,90.77,4.4,446.4,36,23,343,53,rock
1986,35,Live To Tell,Madonna,0.143,0.092,0.765,0.9221,1.3,98.21,4.800000000000001,336.6,8,23,285,40,"electronic/dance, electronic/dance, pop"
1986,36,Mad About You,Belinda Carlisle,0.103,0.264,0.633,-0.9896,1.7,91.78,4.0,260.1,14,27,204,38,pop
1986,37,Something About You,Level 42,0.131,0.109,0.76,0.6759,1.7,91.78,4.0,251.1,25,11,191,35,"jazz, pop, rock"
1986,38,Venus,Bananarama,0.291,0.105,0.604,0.992,0.1,101.26,3.6,245.7,13,33,200,41,"electronic/dance, electronic/dance, pop"
1986,39,Dancing On The Ceiling,Lionel Richie,0.156,0.022,0.822,0.9813,1.7,91.78,4.0,412.2,24,36,324,63,"pop, soul"
1986,40,Conga,Miami Sound Machine,0.112,0.053,0.836,0.9649,1.7,91.78,4.0,405.9,18,35,321,54,pop
1986,41,True Colors,Cyndi Lauper,0.319,0.046,0.635,0.9977,0.9,99.23,4.4,298.8,13,21,251,39,"blues, pop"
1986,42,Danger Zone,Kenny Loggins,0.0,0.225,0.775,-0.9899,1.7,91.78,4.0,197.1,21,12,148,26,"pop, rock"
1986,43,What Have You Done For Me Lately,Janet Jackson,0.182,0.053,0.765,0.9877,0.1,106.67,4.800000000000001,294.3,16,12,256,34,"electronic/dance, pop"
1986,44,No One Is To Blame,Howard Jones,0.081,0.242,0.677,-0.9939,0.5,105.66,5.2,263.7,15,14,231,26,
1986,46,I Didn't Mean To Turn You On,Robert Palmer,0.059,0.06,0.881,0.1857,-0.7,108.7,4.0,202.5,11,11,191,32,"pop, rock"
1986,47,Words Get In The Way,Miami Sound Machine,0.113,0.029,0.858,0.9672,1.3,98.21,4.800000000000001,261.0,12,13,226,32,pop
1986,48,Manic Monday,Bangles,0.116,0.012,0.871,0.9818,0.9,99.23,4.4,326.7,12,19,274,42,"pop, rock"
1986,49,Walk Of Life,Dire Straits,0.148,0.034,0.818,0.9826,2.5,89.75,4.800000000000001,326.7,25,18,261,36,rock
1986,50,Amanda,Boston,0.167,0.0,0.833,0.9909,1.7,97.2,5.2,333.0,23,10,268,32,rock
1986,51,Two Of Hearts,Stacey Q,0.099,0.048,0.853,0.9577,0.5,105.66,5.2,398.7,19,33,347,40,
1986,53,If You Leave,Orchestral Manoeuvres In The Dark,0.117,0.054,0.829,0.9613,0.9,99.23,4.4,274.5,13,16,229,37,"alternative/indie, electronic/dance, pop"
1986,55,The Sweetest Taboo,Sade,0.178,0.014,0.808,0.9935,0.9,99.23,4.4,322.2,15,18,276,43,
1986,56,What You Need,INXS,0.041,0.069,0.89,-0.7449,-0.3,107.69,4.4,193.5,7,15,183,27,"pop, rock"
1986,57,Talk To Me,Stevie Nicks,0.127,0.091,0.782,0.8857,-0.3,107.69,4.4,334.8,24,16,302,49,"pop, rock"
1986,58,Nasty,Janet Jackson,0.021,0.438,0.541,-0.9994,0.9,99.23,4.4,338.4,21,23,280,46,"electronic/dance, pop"
1986,59,Take Me Home Tonight,Eddie Money,0.094,0.088,0.818,0.7035,0.9,99.23,4.4,397.8,26,35,324,53,rock
1986,64,Perfect Way,Scritti Politti,0.261,0.057,0.683,0.9982,3.3,87.72,5.6000000000000005,502.2,35,21,396,41,alternative/indie
1986,65,Living In America,James Brown,0.127,0.034,0.839,0.9829,2.9,83.32,4.0,428.4,52,22,300,58,"hip-hop/rnb, soul"
1986,67,Who's Johnny,El Debarge,0.169,0.03,0.801,0.9953,2.1,96.18,5.6000000000000005,459.0,33,42,375,40,"jazz, pop, soul"
1986,68,Word Up,Cameo,0.134,0.106,0.761,0.9163,0.5,105.66,5.2,348.3,16,13,304,38,
1986,69,Why Can't This Be Love,Van Halen,0.074,0.067,0.859,-0.5417,-0.7,108.7,4.0,228.6,19,16,207,37,rock
1986,71,Typical Male,Tina Turner,0.168,0.043,0.789,0.9846,2.1,90.77,4.4,370.8,23,23,293,44,"pop, hip-hop/rnb, rock, soul"
1986,72,Small Town,John Cougar Mellencamp,0.132,0.071,0.797,0.8569,0.1,106.67,4.800000000000001,237.6,16,6,212,29,"pop, rock"
1986,73,Tarzan Boy,Baltimora,0.153,0.034,0.814,0.9796,2.1,90.77,4.4,315.9,19,25,248,36,
1986,75,Sweet Freedom,Michael McDonald,0.247,0.044,0.709,0.9943,1.7,91.78,4.0,284.4,32,18,217,41,
1986,76,True Blue,Madonna,0.223,0.231,0.546,-0.8966,1.3,98.21,4.800000000000001,441.9,20,38,356,48,"electronic/dance, electronic/dance, pop"
1986,79,Bad Boy,Miami Sound Machine,0.113,0.449,0.438,-0.9988,-1.0,109.72,3.6,198.0,10,26,179,39,pop
1986,80,Sleeping Bag,ZZ Top,0.104,0.0,0.896,0.9058,1.3,98.21,4.800000000000001,169.2,10,9,140,18,rock
1986,81,Tonight She Comes,Cars,0.134,0.013,0.852,0.9762,0.9,99.23,4.4,300.6,15,23,255,42,
1986,82,Love Touch,Rod Stewart,0.297,0.052,0.651,0.9983,0.9,99.23,4.4,349.2,17,16,292,48,"pop, rock"
1986,83,A Love Bizarre,Sheila E.,0.246,0.13,0.624,0.9873,1.7,97.2,5.2,300.6,13,15,255,29,pop
1986,87,Nikita,Elton John,0.041,0.08,0.879,-0.8056,1.3,98.21,4.800000000000001,324.0,13,15,262,33,"pop, rock"
1986,88,Take Me Home,Phil Collins,0.065,0.105,0.831,-0.946,2.9,88.74,5.2,428.4,20,23,335,41,"jazz, pop, rock"
